APPLICANT NO.,APPLICATION CODE,"Education
(10 pts)","Training
(10 pts)","Experience
(10 pts)","PBET/LET/
LEPT Rating
(10 pts)","PPST COIs
Classroom
Observation
(35 pts)","PPST NCOIs
Teacher Reflection
(25 pts)","Total
(100 pts)"
20230123,1148,0,10,8,7.74,30.33,12.5,68.57
20230143,1568,0,10,10,7.92,33.25,22.5,83.67
20230450,1311,0,10,0,8.32,35,17.5,70.82
20230501,624,0,10,0,9.08,33.83,22.5,75.41
20230625,569,0,10,4,7.72,35,20,76.72
20230372,1589,0,10,0,8.42,32.66,12.5,63.58
202300850,877,0,10,4,8.26,30.33,22.5,75.09
20230640,1020,0,10,0,7.8,29.17,15,61.97
20230149,1356,0,10,4,7.64,31.5,25,78.14
20230579,722,0,10,4,7.92,30.33,20,72.25
20230178,550,0,10,6,7.92,33.83,15,72.75
20230901,258,0,10,6,7.72,30.33,17.5,71.55
20230362,1106,0,10,4,8.6,31.5,20,74.1
20230856,345,0,10,0,8.54,33.83,20,72.37
20230497,1141,0,10,4,8.04,33.83,25,80.87
20230670,1200,0,10,2,8.5,35,15,70.5
20231049,1639,0,6,4,7.88,32.66,22.5,73.04
20230907,240,0,10,2,7.76,30.33,25,75.09
20230115,545,0,10,10,8.52,29.17,17.5,75.19
20231004,1279,0,10,4,8.26,31.5,20,73.76
20231002,362,0,10,6,8.64,35,15,74.64
20231003,440,0,10,8,8.12,35,16.25,77.37
20230152,1559,0,10,0,8.68,32.66,22.5,73.84
20230903,1385,,10,2,8.8,35,22.5,78.3
20230297,1201,0,10,2,7.72,29.17,12.5,61.39
20230628,199,0,10,0,7.88,26.83,20,64.71
20230153,719,0,10,2,7.74,31.5,17.5,68.74
20230763,1340,0,0,2,8.6,26.83,25,62.43
20230990,744,0,10,6,8.72,30.33,15,70.05
20230219,1171,0,10,10,7.92,32.67,22.5,83.09
20230782,576,0,10,2,8.58,29.17,17.5,67.25
202300879,1635,0,10,0,9.08,34.42,17.5,71
20230841,775,0,0,0,8.32,28,20,56.32
20230067,662,0,10,8,8.38,31.5,17.5,75.38
20230478,1211,0,4,2,7.54,31.5,15,60.04
20230221,1480,0,10,4,8.26,32.67,12.5,67.43
20230942,106,0,10,2,8.46,30.33,22.5,73.29
20230140,1052,0,0,0,8.82,31.5,17.5,57.82
20230433,556,0,10,4,8.18,33.83,25,81.01
20230244,918,0,10,4,8.6,30.33,22.5,75.43
20230373,846,0,10,2,7.56,29.17,17.5,66.23
20230003,49,0,10,2,7.72,32.67,20,72.39
20230092,764,0,10,2,9.14,32.66,20,73.8
20230885,264,0,10,2,7.66,32.66,20,72.32
20230613,411,,10,2,8.2,35,22.5,77.7
20231072,1028,0,10,6,7.7,32.67,12.5,68.87
20230249,477,0,10,0,8.12,32.66,20,70.78
20230984,1226,0,10,6,7.82,30.33,5,59.15
20230810,19,0,10,6,8.7,35,22.5,82.2
20230817,267,0,10,2,8.84,35,17.5,73.34
20230539,311,0,10,0,8.8,31.5,15,65.3
20230482,279,0,10,2,7.8,33.83,18.75,72.38
20230177,485,0,10,0,9.3,32.67,20,71.97
20230267,655,0,10,0,7.5,26.833,15,59.333
20230879,456,0,2,10,7.5,32.67,10,62.17
20230207,1284,0,10,4,7.5,35,17.5,74
20230146,370,0,10,6,8.38,31.5,12.5,68.38
20230959,210,0,0,4,7.54,32.67,25,69.21
20230120,679,0,10,1,7.64,29.17,10,57.81
202300852,1572,0,10,8,7.62,34.417,12.5,72.537
20230812,582,0,10,8,7.84,33.83,20,79.67
20230666,1474,0,10,4,8.24,32.55,21.25,76.04
20230387,899,0,10,6,8.26,29.75,12.5,66.51
20230081,1050,0,10,2,7.78,35,23.75,78.53
202300860,1593,0,10,4,8.22,30.33,22.5,75.05
20231058,641,0,10,0,7.82,35,20,72.82
20230507,1321,0,10,6,7.63,24.5,10,58.13
20230722,468,0,10,6,7.54,32.67,20,76.21
20230356,640,0,10,4,8.16,33.25,22.5,77.91
20230020,80,0,10,0,7.56,32.67,12.5,62.73
20230352,531,0,10,6,7.56,32.67,15,71.23
20230209,329,0,10,4,7.58,31.5,12.5,65.58
20230354,339,0,10,4,7.68,29,20,70.68
20230503,946,0,10,4,7.96,31.5,17.5,70.96
202330302,1140,0,10,2,7.58,32.67,17.5,69.75
20230273,1117,0,10,6,7.78,35,12.5,71.28
20230520,902,0,8,0,8.6,32.66,17.5,66.76
20230695,1127,0,10,4,8.16,30.33,17.5,69.99
20230181,367,0,10,0,8.08,30.45,17.5,66.03
20230874,308,0,10,2,8.14,32.67,25,77.81
202300847,1023,0,10,1,9.32,32.67,25,77.99
20230721,928,0,10,0,7.92,31.5,10,59.42
20230877,741,0,10,8,7.82,30.33,17.5,73.65
20230960,605,0,10,2,8.1,33.83,22.5,76.43
20230740,797,0,10,6,7.62,33.83,23.75,81.2
202300892,1411,10,10,7,7.76,32.67,10,77.43
20230410,648,0,10,4,7.78,33.25,15,70.03
20230154,1188,0,10,1,7.78,33.83,15,67.61
20230938,1460,0,10,4,8.25,32.67,20,74.92
20230131,530,0,10,0,7.6,31.5,7.5,56.6
20230524,1080,0,10,0,8.26,33.83,12.5,64.59
20230685,192,0,10,4,8.5,35,15,72.5
20230925,838,0,10,4,8.68,35,5,62.68
20230830,1173,6,10,9,7.6,33.83,15,81.43
20230052,1361,0,10,0,8.5,30.33,25,73.83
20231014,315,0,10,4,7.78,33.87,25,80.65
20230525,323,0,10,10,7.84,35,25,87.84
20230116,610,0,10,0,9.04,35,25,79.04
20230793,1243,0,10,2,7.82,30.33,17.5,67.65
20230712,250,0,10,2,7.84,33.83,12.5,66.17
20230337,666,0,10,2,8.22,32.67,20,72.89
20230080,1065,0,10,6,8.94,33.83,15,73.77
20230228,589,0,10,0,8.86,30.33,22.5,71.69
20230110,854,0,10,0,8.64,31.5,15,65.14
20230463,248,0,10,2,7.98,24.5,10,54.48
20230799,669,0,10,8,7.5,35,12.5,73
20230060,1501,0,10,2,8.48,34.417,17.5,72.397
20230567,1152,,10,,8.72,35,22.5,76.22
20230208,1349,0,10,0,8.74,31.5,25,75.24
20230050,1278,0,10,0,7.66,34.417,10,62.077
20230022,1516,0,10,2,7.94,33.25,17.5,70.69
20230103,962,0,10,0,8.6,33.83,12,64.43
20230691,974,,0,,7.78,35,22.5,65.28
20230957,237,0,10,4,7.86,32.67,12.5,67.03
20230160,18,,4,,8.5,35,22.5,70
20230923,975,0,10,4,8.28,35,10,67.28
20230176,1408,,10,2,8.1,33.83,22.5,76.43
20230040,818,0,10,2,8.58,26.25,20,66.83
20230662,13,0,10,5,7.84,29.17,5,57.01
202300894,1457,0,4,0,7.56,29.17,15,55.73
20230444,473,0,10,8,8.32,28,20,74.32
20230844,1185,0,10,0,8.1,35,17.5,70.6
20231013,1000,0,10,4,7.8,25.6,20,67.4
20230248,495,0,10,0,8.42,31.5,17.5,67.42
202308687,153,0,10,4,8.2,32.67,22.5,77.37
20230484,653,0,10,10,7.7,31.5,17.5,76.7
202300896,1527,0,10,0,8.56,33.83,15,67.39
20230958,120,2,10,3,8.5,35,23.75,82.25
20230924,1012,0,10,4,7.72,33.83,7.5,63.05
20230303,82,0,10,0,8.98,30.33,10,59.31
20230474,991,0,10,4,7.56,29.17,17.5,68.23
20231011,249,,2,,7.9,35,22.5,67.4
20230048,1016,0,10,6,8.26,33.83,17.5,75.59
20230413,1293,2,10,4,7.8,33.83,15,72.63
20230495,864,0,10,4,7.62,32.66,17.5,71.78
20230311,188,0,10,0,7.66,33.83,5,56.49
20230353,1542,0,10,2,8.92,35,16.3,72.17
202300904,1557,0,4,10,7.52,32.67,17.5,71.69
20230448,1459,0,10,0,8.44,33.25,20,71.69
20230771,303,0,0,0,8.02,31.5,15,54.52
20230929,1072,0,10,2,7.58,32.67,25,77.25
20230594,1435,0,10,10,8.48,31.5,17.5,77.48
20230099,234,0,10,0,9.1,30.33,7.5,56.93
20230927,226,0,10,10,7.9,33.83,25,86.73
20230814,1598,,10,6,7.96,33.83,22.5,80.29
20230571,574,0,10,0,8.3,32.67,21.25,72.22
20230089,541,0,9,0,7.7,30.33,7.5,54.53
20230017,794,0,10,2,8.54,33.83,12.5,66.87
20230037,702,0,10,0,7.92,32.67,7.5,58.09
20230269,761,0,10,4,8.02,32.67,20,74.69
20230693,91,0,10,4,7.64,29.17,15,65.81
20230182,1,0,0,0,8.28,30.33,15,53.61
20230892,798,0,10,10,7.7,32.66,25,85.36
20230946,658,0,10,8,7.62,32.67,5,63.29
20230172,1187,0,10,0,8.54,29.17,17.5,65.21
20231054,650,0,10,4,8.1,35,22.5,79.6
20231079,1150,0,10,4,7.74,32.66,22.5,76.9
20230142,1543,0,10,4,8.98,31.5,20,74.48
20231018,558,0,10,6,7.62,30.33,17.5,71.45
20230342,426,0,10,4,7.9,32.08,20,73.98
20230728,1400,0,10,6,8.44,28,15,67.44
20230889,1231,0,10,0,7.82,32.67,20,70.49
20230553,629,0,0,6,7.82,28,20,61.82
202300889,1530,0,10,0,8.56,34.42,15,67.98
20230044,1332,0,0,2,8.74,33.83,17.5,62.07
20230523,831,0,10,10,7.52,31.5,6.25,65.27
20230252,853,0,10,8,8.02,33.83,22.5,82.35
20230304,1338,0,10,0,7.64,32.67,7.5,57.81
20230075,38,0,10,0,8.72,33.83,22.5,75.05
20230804,1239,0,10,4,8.3,29.17,17.5,68.97
20230117,1412,0,4,0,7.96,31.5,22.5,65.96
202300884,1369,0,10,4,8.22,31.5,15,68.72
20230145,78,0,10,0,8.64,32.67,12.5,63.81
20230813,543,0,10,8,7.66,30.33,25,80.99
20230784,1290,0,10,2,7.52,33.83,22.5,75.85
20230068,1433,0,10,2,7.84,24.5,15,59.34
20230932,404,0,10,8,7.5,31.5,20,77
20231061,952,0,10,2,8.58,33.83,10,64.41
20230650,711,0,10,0,7.84,31.5,20,69.34
20230400,1583,3,10,0,8.1,32.09,17.5,70.69
20230998,388,4,10,4,7.56,32.66,20,78.22
20230071,1308,0,10,10,7.7,31.5,15,74.2
20230956,299,0,10,10,8.04,30.33,20,78.37
20230930,1314,0,8,0,8.08,31.5,20,67.58
20230399,773,0,10,2,8.32,32.09,20,72.41
20230096,1089,0,2,0,8.04,33.83,10,53.87
20230792,920,0,10,0,7.56,30.33,7.5,55.39
20230250,334,0,6,2,7.96,33.83,17.5,67.29
20230550,327,0,10,6,8.22,31.5,22.5,78.22
20230610,1248,0,10,2,8.06,30.33,22.5,72.89
20230985,879,0,10,2,7.92,30.33,15,65.25
20230870,686,0,10,2,8.4,32.26,25,77.66
20230157,358,0,10,2,8.04,32.7,7.5,60.24
20230013,61,0,10,2,7.76,30.33,22.5,72.59
20230673,419,0,10,2,7.62,29.17,15,63.79
20230780,1452,0,10,5,7.6,32.66,10,65.26
20230801,1234,0,10,4,7.6,28,20,69.6
20230997,239,0,10,6,7.86,31.5,22.5,77.86
20230007,1491,0,10,0,7.62,31.5,17.5,66.62
20230890,467,0,10,2,8.56,32.6,22.5,75.66
20230557,747,0,10,0,8.58,33.83,22.5,74.91
202300873,1292,0,10,6,8.34,30.92,17.5,72.76
20230795,1233,0,10,4,8.12,30.33,20,72.45
20230011,570,0,4,0,7.88,35,12.5,59.38
20230491,415,0,10,6,7.88,34.42,17.5,75.8
20230806,1264,0,10,4,8.2,31.5,20,73.7
20230247,548,0,0,0,8.52,33.8,15,57.32
20230159,1409,10,8,8,7.78,33.83,5,72.61
20230649,342,0,10,8,7.86,33.83,25,84.69
20230629,549,0,10,6,8.38,35,15,74.38
20230287,932,0,4,0,8.52,26.833,15,54.353
20230364,1569,0,4,6,7.7,33.25,17.5,68.45
20230494,1048,0,10,4,7.62,32.67,22.5,76.79
20230113,398,0,10,4,7.5,31.5,17.5,70.5
20230046,896,0,4,0,7.64,27.417,12.5,51.557
20230104,579,0,10,2,7.78,31.5,22.5,73.78
20230839,519,0,10,6,8.3,30.33,25,79.63
20230527,1189,0,10,0,7.68,32.55,22.5,72.73
20230377,1136,0,10,0,8.84,32.66,17.5,69
20230451,1204,0,10,2,8.26,25.67,25,70.93
20230321,1577,0,10,4,8.38,33.25,20,75.63
20230719,1261,0,10,2,7.68,31.5,20,71.18
202300906,1584,0,10,0,8.7,30.33,22.5,71.53
20230122,862,0,4,8,8.1,30.333,17.5,67.933
20230031,1519,0,10,2,7.52,32.667,7.5,59.687
20230807,973,0,10,4,8.7,32.67,15,70.37
20230767,1485,0,2,2,7.98,31.5,12.5,55.98
202300880,1465,0,10,4,8.28,29.17,12.5,63.95
20230200,478,0,10,4,7.64,33.83,22.5,77.97
20230822,384,0,10,7,8.24,29.16,20,74.4
20230144,1556,0,10,0,8.36,32.08,15,65.44
20230127,1268,0,10,4,8.42,28,15,65.42
202300895,1588,,10,2,8.48,35,22.5,77.98
20230202,317,0,10,4,8.32,33.83,22.5,78.65
20230291,875,0,10,7,8.02,35,22.5,82.52
20230689,700,0,4,0,7.9,31.5,17.5,60.9
20230796,602,0,10,4,7.98,31.5,20,73.48
20230894,167,0,10,2,8.68,33.83,25,79.51
20230552,726,0,10,2,7.54,26.83,15,61.37
20231047,1487,6,10,2,8.08,33.83,22.5,82.41
20230281,1172,0,10,0,8.78,32.67,15,66.45
20230857,145,0,10,6,7.52,32.67,25,81.19
20230758,649,0,10,2,8.54,33.67,12.5,66.71
20230357,1494,0,10,10,8.38,34.42,20,82.8
20230755,354,,10,4,7.9,35,22.5,79.4
20230049,96,0,10,0,9.06,32.55,20,71.61
20230278,115,0,10,2,7.96,33.95,10,63.91
20230446,109,0,10,0,8.46,33.95,20,72.41
20230505,349,0,10,4,7.5,33.83,20,75.33
20230074,101,0,10,0,9.14,28,20,67.14
20230189,1070,0,10,0,8.58,30.33,17.5,66.41
20230042,324,0,10,0,7.68,28,15,60.68
20230513,692,,,,8.24,35,22.5,65.74
20230898,112,,10,,7.86,33.83,22.5,74.19
20230955,159,,2,,7.8,35,22.5,67.3
20230265,102,0,10,0,9.12,33.83,25,77.95
20230948,1471,0,10,0,8.54,31.5,17.5,67.54
20230481,1008,0,10,10,7.62,29.17,17.5,74.29
202300851,1033,0,10,2,7.54,31.5,15,66.04
20230045,340,0,10,0,8.06,30.33,15,63.39
20230179,90,0,10,0,8.72,31.5,15,65.22
20230428,203,0,10,8,8.08,31.5,22.5,80.08
20230566,217,0,10,1,8.1,33.83,20,72.93
20230366,527,0,10,8,7.78,34.42,17.5,77.7
20230826,1126,,,2,8.4,35,22.5,67.9
20230791,1257,0,10,8,7.6,32.67,25,83.27
20230914,637,0,2,0,7.76,31.5,10,51.26
20230521,724,0,10,0,8.76,31.5,15,65.26
20230974,1007,0,10,2,8.3,32.66,25,77.96
20230867,908,0,10,4,7.78,24.5,22.5,68.78
20230355,912,0,10,2,7.74,33.83,20,73.57
20230741,915,0,10,2,8.02,32.67,15,67.69
202300857,1051,0,10,0,8.64,33.95,17.5,70.09
20231034,484,,10,2,8.04,33.83,22.5,76.37
20230371,1558,0,10,10,8.38,32.08,15,75.46
20230733,1010,0,10,6,7.54,30.33,15,68.87
20230082,1504,0,10,0,7.9,29.167,12.5,59.567
20230161,20,,,,8.1,33.83,22.5,64.43
20230275,1199,0,6,4,8.76,30.33,15,64.09
20230276,1387,0,10,6,8.04,31.5,10,65.54
20230456,1447,,10,4,8.34,33.83,22.5,78.67
20230808,1251,0,10,6,8.06,30.33,17.5,71.89
20231050,1429,,10,4,8.28,33.83,22.5,78.61
202300887,1415,0,8,2,7.58,30.33,15,62.91
20230862,1056,,10,6,7.68,35,22.5,81.18
20231055,1368,0,10,0,8.3,31.5,15,64.8
20230861,223,0,10,6,8.06,33.83,0,57.89
20230627,1184,0,10,0,7.74,33.95,17.5,69.19
202300848,1112,0,10,0,7.94,28,20,65.94
20230569,71,,10,4,7.86,33.83,22.5,78.19
20230655,835,0,10,0,8.94,31.5,25,75.44
20230819,128,0,10,0,8.5,33.83,22.5,74.83
20230738,789,0,10,6,8.02,33.83,17.5,75.35
20230884,644,0,10,6,7.98,31.5,17.5,72.98
20231063,790,0,10,2,8.32,31.5,20,71.82
20230214,990,0,10,0,9.16,32.66,22.5,74.32
20230549,1038,0,2,0,7.88,31.5,20.25,61.63
20231008,876,0,10,6,7.7,33.83,20,77.73
20230749,760,0,10,4,8.38,30.33,25,77.71
20231059,889,0,10,4,7.74,30.33,17.5,69.57
20230887,577,0,10,3,8.16,33.83,20,74.99
20231020,1365,0,10,4,8.18,33.83,10,66.01
20230935,552,0,10,8,8.1,25.6,20,71.7
202300876,1324,4,4,10,7.78,32.67,16.25,74.7
20230754,1258,0,10,2,8.66,30.33,20,70.99
20230434,628,0,2,2,8.1,35,20,67.1
20230293,1562,0,10,2,7.8,22.17,10,51.97
20230794,1232,0,2,4,7.74,35,15,63.74
20231051,681,6,10,4,8.62,35,25,88.62
20230886,290,0,10,2,8.28,33.8,19,74.08
20230077,68,0,10,0,8.64,33.833,17.5,69.973
20230336,416,0,10,6,7.84,35,17.5,76.34
20230664,1281,0,2,10,8.02,32.67,22.5,75.19
20231012,414,0,10,6,7.92,33.8,8.75,66.47
20230555,1238,0,10,0,8.72,31.5,5,55.22
20230348,1026,0,10,6,7.92,33.25,20,77.17
20230561,841,0,10,4,8,32.67,17.5,72.17
202300856,1002,0,10,6,7.74,31.5,22.5,77.74
20231039,489,0,10,0,8.72,31.5,12.5,62.72
20230743,1061,0,10,0,7.72,35,20,72.72
20230193,1518,0,10,0,8.74,31.5,6.25,56.49
20230682,590,,10,2,8.1,35,22.5,77.6
20230215,1555,0,10,6,7.9,34.42,12.5,70.82
20230171,1561,6,10,2,8.62,35,20,81.62
20230518,1024,0,0,0,7.7,30.33,12.5,50.53
20230487,671,0,10,4,8.36,35,22.5,79.86
20230259,1430,0,10,4,8.06,31.5,12.5,66.06
20230639,727,0,10,8,8.02,33.83,20,79.85
20230747,300,,10,4,8.66,35,22.5,80.16
20230636,1132,0,10,8,7.5,35,17.5,78
20230054,1064,0,10,6,8.36,32.66,13.75,70.77
202300889,1549,,10,2,7.94,33.83,22.5,76.27
20231005,1198,0,10,10,7.56,33.83,16.25,77.64
20230235,1301,0,10,0,8.06,31.5,17.5,67.06
20230112,1168,0,10,10,7.7,33.83,15,76.53
20230987,1223,0,10,2,7.66,32.66,10,62.32
20230119,544,0,10,4,8.48,33.83,18.75,75.06
20231043,504,0,10,4,8.24,33.83,10,66.07
20230280,1159,0,10,2,8.2,29.17,22.5,71.87
20230911,69,0,10,2,8.94,33.83,22.5,77.27
20230395,1553,0,10,2,7.7,33.8,22.5,76
20230274,73,0,10,4,7.98,33.83,7.5,63.31
20230872,598,0,4,0,8.5,33.83,17.5,63.83
20230871,1399,0,10,2,8.64,35,5,60.64
20230688,184,0,10,6,8.22,30.33,15,69.55
20230623,715,0,10,0,8.98,30.45,22.5,71.93
20230253,77,0,10,0,8.12,22.17,17.5,57.79
20230989,745,0,10,6,7.78,30.33,15,69.11
20230921,898,0,10,8,8.1,35,12.5,73.6
20230815,712,0,10,2,8.8,32.67,20,73.47
20230786,295,0,10,2,8.18,31.5,7.5,59.18
20230589,1374,,10,4,7.98,35,22.5,79.48
20230726,1242,,10,2,8.32,35,22.5,77.82
20230134,1337,0,10,8,7.66,30.333,12.5,68.493
20230101,1263,0,10,0,8.84,29.16,5,53
20230637,1294,,10,2,7.7,35,22.5,77.2
20230931,1380,,10,4,8.14,33.83,22.5,78.47
20230992,1439,0,10,2,8.54,29.17,25,74.71
20230669,1025,0,10,6,7.8,33.83,17.5,75.13
20230340,431,0,10,8,7.66,32.67,10,68.33
20230979,1274,0,10,0,7.86,27.417,15,60.277
20230396,1507,0,2,4,8.36,30.33,15,59.69
20230165,528,0,10,4,7.86,29.16,25,76.02
20230376,1538,6,10,6,7.58,32.67,20,82.25
20230778,481,0,10,4,7.76,33.83,25,80.59
20230282,674,0,10,0,7.9,33.83,10,61.73
20230345,1036,0,10,2,7.78,32.67,22.5,74.95
20230526,979,0,10,4,8.64,30.33,20,72.97
20230615,333,10,10,2,7.56,31.5,25,86.06
20230564,985,0,10,3,7.86,35,25,80.86
20230079,1282,0,10,2,8.96,35,15,70.96
20230418,1509,0,10,6,7.84,33.83,20,77.67
20230529,675,0,10,6,7.66,35,12.5,71.16
20230917,967,0,10,10,7.7,33.83,25,86.53
20230620,381,0,10,2,8.34,31.5,25,76.84
20231024,749,0,0,0,7.68,32.67,10,50.35
20230043,1406,0,4,4,8.04,30.333,15,61.373
20231052,604,0,10,6,7.78,35,20,78.78
20230093,1537,2,10,2,8.3,32.08,22.5,76.88
20230445,1590,0,0,0,7.62,32.67,10,50.29
20230680,392,,10,2,7.5,35,22.5,77
20230016,871,0,10,2,8.88,34.417,22.5,77.797
20230279,1289,0,8,10,7.9,31.5,10,67.4
20230876,463,0,10,4,7.98,33.83,20,75.81
20230790,435,0,6,0,8.42,31.5,15,60.92
20230272,256,0,10,6,7.82,35,17.5,76.32
20230893,1582,0,10,0,8.32,33.25,15,66.57
20230834,1018,0,10,4,8.22,32.67,25,79.89
20230559,839,0,10,2,8.1,31.5,10,61.6
20230756,374,,10,2,7.9,35,22.5,77.4
20230164,852,0,10,0,8.22,32.66,22.5,73.38
20230312,1477,0,10,6,7.7,32.08,15,70.78
20231044,1086,0,10,8,7.86,31.5,10,67.36
20230476,998,0,10,0,7.5,33.83,12.5,63.83
20230945,861,0,10,2,7.58,33.83,15,68.41
20230429,84,0,10,4,8.64,30.91,15,68.55
20230852,907,0,10,0,7.7,33.83,12.5,64.03
20230204,1224,0,10,4,8.14,26.83,7.5,56.47
202300859,1525,0,0,0,8.22,29.17,22.5,59.89
20230185,522,0,10,8,8.02,33.83,12.5,72.35
202300891,14056,0,10,2,7.5,30.33,12.5,62.33
20230686,213,0,8,5,8.36,33.83,22.5,77.69
20230462,1029,0,10,4,7.62,32.67,20,74.29
20230470,232,0,10,6,8.18,32.66,20,76.84
20230883,554,0,10,6,7.74,33.83,22.5,80.07
20230916,63,0,10,0,8.64,32.67,20,71.31
20230147,465,0,10,4,8.54,33.8,20,76.34
202300870,1540,0,10,4,9,34.42,12.5,69.92
20230141,1539,0,10,4,9.1,33.83,25,81.93
20230696,103,0,10,4,7.58,32.66,17.5,71.74
20230798,751,0,10,0,7.86,31.5,5,54.36
20230283,1118,0,10,4,8,29.17,12.5,63.67
20230570,72,,10,4,8.3,35,22.5,79.8
20230129,547,0,10,10,7.76,32.67,20,80.43
20230473,647,,10,4,8.06,33.83,22.5,78.39
20230485,1176,6,10,9,8.6,31.5,22.5,87.6
20230941,572,0,10,2,8.68,30.33,15,66.01
20231041,1240,0,10,0,8.44,29.17,12.5,60.11
20231042,1404,0,10,2,8.62,29.17,17.5,67.29
20230254,755,,10,2,8.28,33.83,22.5,76.61
20230238,1116,0,10,2,8.32,30.33,16.25,66.9
20230888,1215,0,10,0,9.04,32.67,10,61.71
20230073,1218,6,10,0,7.84,33.83,10,67.67
20230643,941,0,10,0,8.76,33.83,7.5,60.09
20230735,936,0,10,2,8.54,29.05,20,69.59
20230258,1255,0,0,4,7.72,28,20,59.72
20230225,772,0,10,2,8.74,31.5,10,62.24
20230665,1272,0,0,10,7.76,31.5,15,64.26
20230873,623,0,10,0,8.5,31.5,20,70
20230226,948,0,10,0,8.94,31.5,17.5,67.94
20230983,202,0,0,4,7.72,29.16,18.75,59.63
20230701,1291,0,10,10,8.58,26.83,10,65.41
20230981,224,0,10,6,8.02,31.5,17.5,73.02
202300902,1617,0,10,0,8.26,33.25,22.5,74.01
20230084,1296,0,10,0,7.86,28,15,60.86
20230516,322,0,10,2,8.8,33.25,22.5,76.55
20230315,1131,0,10,6,8.4,33.83,20,78.23
20230138,717,0,10,4,8.02,29.17,20,71.19
20230498,845,0,10,2,8.1,32.67,15,67.77
20230977,843,0,10,6,8.34,31.5,15,70.84
20230251,1280,0,2,2,8.68,35,20,67.68
20230687,156,,,,8.48,33.83,22.5,64.81
20231073,953,0,10,9,7.9,30.33,25,82.23
20230162,283,0,10,4,8.1,32.67,15,69.77
20230066,595,0,10,6,8.68,32.67,25,82.35
20230617,926,,10,6,7.88,35,22.5,81.38
20230802,1222,0,10,8,7.72,35,17.5,78.22
20230398,1506,0,10,6,7.92,32.66,22.5,79.08
202300869,1271,0,0,10,9.1,31.5,15,65.6
202300858,1181,,10,,7.74,35,22.5,75.24
20230277,771,0,10,2,7.76,33.83,10,63.59
20230098,453,0,10,0,8.7,31.5,10,60.2
20230746,44,,10,4,8.46,33.83,22.5,78.79
20230108,1273,0,10,0,8.42,32.67,17.5,68.59
20230760,246,0,10,3,7.56,33.83,25,79.39
20230943,1068,0,10,6,8.12,29.16,22.5,75.78
20230062,309,0,10,0,8.28,33.83,15,67.11
20230714,668,0,10,0,8.02,33.83,10,61.85
20230405,1499,0,10,6,8.7,34.42,17.5,76.62
20230414,816,0,10,2,9.02,30.66,20,71.68
20230100,1149,0,10,0,7.98,32.66,10,60.64
